"filename", "language", "Python", "JavaScript", "HTML", "JSON", "PowerShell", "MS SQL", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\yanni\Desktop\Site Confrérie 7ds\generate-potentiels.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 14, 10, 85
"c:\Users\yanni\Desktop\Site Confrérie 7ds\generate-stats-build.py", "Python", 260, 0, 0, 0, 0, 0, 0, 0, 0, 37, 297
"c:\Users\yanni\Desktop\Site Confrérie 7ds\generate-stats.py", "Python", 232, 0, 0, 0, 0, 0, 0, 0, 28, 26, 286
"c:\Users\yanni\Desktop\Site Confrérie 7ds\index.html", "HTML", 0, 0, 8899, 0, 0, 0, 0, 0, 15, 483, 9397
"c:\Users\yanni\Desktop\Site Confrérie 7ds\manifest.webmanifest", "JSON", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\yanni\Desktop\Site Confrérie 7ds\package-lock.json", "JSON", 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 64
"c:\Users\yanni\Desktop\Site Confrérie 7ds\package.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\yanni\Desktop\Site Confrérie 7ds\personnages-meta.js", "JavaScript", 0, 530, 0, 0, 0, 0, 0, 0, 4, 1, 535
"c:\Users\yanni\Desktop\Site Confrérie 7ds\potentiels.js", "JavaScript", 0, 914, 0, 0, 0, 0, 0, 0, 4, 1, 919
"c:\Users\yanni\Desktop\Site Confrérie 7ds\scripts\discord-reminder.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 7, 11, 94
"c:\Users\yanni\Desktop\Site Confrérie 7ds\scripts\reminder-core.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 6, 7, 67
"c:\Users\yanni\Desktop\Site Confrérie 7ds\stats-build.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\yanni\Desktop\Site Confrérie 7ds\supabase-config.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 3, 1, 6
"c:\Users\yanni\Desktop\Site Confrérie 7ds\supabase\rollback-boss-reports.sql", "MS SQL", 0, 0, 0, 0, 0, 119, 0, 0, 5, 16, 140
"c:\Users\yanni\Desktop\Site Confrérie 7ds\supabase\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 725, 0, 0, 29, 77, 831
"c:\Users\yanni\Desktop\Site Confrérie 7ds\sw.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 0, 27, 14, 140
